left_compound,right_compound,left_smiles,right_smiles,tanimoto_similarity,left_pchembl,right_pchembl,delta_pchembl,left_label,right_label
CHEMBL4860352,CHEMBL5399871,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCCN2)cc1,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H]2CCCN2)cc1,0.9538461538461539,9.48,4.4,5.08,1.0,0.0
CHEMBL290331,CHEMBL297133,NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1,NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(N)=O)c3)[C@@H](Cc3ccccc3)[C@@H](O)[C@@H]2CCc2ccccc2)c1,0.9019607843137255,10.22,5.32,4.9,1.0,0.0
CHEMBL284340,CHEMBL297133,NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(N)=O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1,NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(N)=O)c3)[C@@H](Cc3ccccc3)[C@@H](O)[C@@H]2CCc2ccccc2)c1,1.0,10.06,5.32,4.74,1.0,0.0
CHEMBL4852584,CHEMBL5418270,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCNC1)S(=O)(=O)c1ccc(N)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCNC1)S(=O)(=O)c1ccc(N)cc1,0.9047619047619048,9.57,4.9,4.67,1.0,0.0
CHEMBL284942,CHEMBL298120,N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccccc3)[C@@H](O)[C@H]2Cc2ccccc2)c1,N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N\O)c3)[C@@H](CCc3ccccc3)[C@H](O)[C@@H]2Cc2ccccc2)c1,1.0,10.72,6.11,4.61,1.0,
CHEMBL179761,CHEMBL181507,NC(=O)c1cccc(N2C(=O)N(c3cccc(C(N)=O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1,NC(=O)c1cccc(N2C(=O)N(c3cccc(C(N)=O)c3)[C@@H](Cc3ccccc3)[C@@H](O)[C@@H]2CCc2ccccc2)c1,1.0,10.06,5.48,4.58,1.0,0.0
CHEMBL179103,CHEMBL179666,Nc1cc(N2C(=O)N(c3ccc(F)c(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)ccc1F,Nc1cc(N2C(=O)N(c3ccc(F)c(N)c3)[C@@H](Cc3ccccc3)[C@@H](O)[C@@H]2CCc2ccccc2)ccc1F,1.0,9.6,5.1,4.5,1.0,0.0
CHEMBL178951,CHEMBL361999,N=C(NO)c1cccc(N2C(=O)N(c3cccc(/C(N)=C\O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1,N=C(NO)c1cccc(N2C(=O)N(c3cccc(/C(N)=C\O)c3)[C@@H](Cc3ccccc3)[C@@H](O)[C@@H]2CCc2ccccc2)c1,1.0,10.74,6.26,4.48,1.0,
CHEMBL290576,CHEMBL21291,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1,O=C1N(Cc2ccccc2)[C@@H](Cc2ccccc2)C(O)[C@H](Cc2ccccc2)N1Cc1ccccc1,0.9333333333333333,8.47,4.05,4.420000000000001,1.0,0.0
CHEMBL4852584,CHEMBL5423048,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCNC1)S(=O)(=O)c1ccc(N)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCNC1)S(=O)(=O)c1ccc(N)cc1,0.9047619047619048,9.57,5.21,4.36,1.0,0.0
CHEMBL4877646,CHEMBL5419886,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCNC2)cc1,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H]2CCNC2)cc1,0.9104477611940298,10.54,6.22,4.319999999999999,1.0,
CHEMBL120610,CHEMBL21291,O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1,O=C1N(Cc2ccccc2)[C@@H](Cc2ccccc2)C(O)[C@H](Cc2ccccc2)N1Cc1ccccc1,0.9333333333333333,8.22,4.05,4.170000000000001,1.0,0.0
CHEMBL4877646,CHEMBL5402855,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCNC2)cc1,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCNC2)cc1,0.9104477611940298,10.54,6.39,4.1499999999999995,1.0,
