activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,target_chembl_id,document_chembl_id,activity_comment,data_validity_comment,data_validity_description,potential_duplicate
32456,CHEMBL769366,CHEMBL108102,IC50,=,42.0,nM,7.38,CHEMBL243,CHEMBL1129270,,,,0
32459,CHEMBL769366,CHEMBL322033,IC50,>,1000.0,nM,,CHEMBL243,CHEMBL1129270,,,,0
33353,CHEMBL696055,CHEMBL20143,IC50,=,4.0,nM,8.40,CHEMBL243,CHEMBL1127883,,,,0
33358,CHEMBL695233,CHEMBL75310,IC50,=,2.0,nM,8.70,CHEMBL243,CHEMBL1127978,,,,0
34609,CHEMBL696055,CHEMBL19545,IC50,=,6.0,nM,8.22,CHEMBL243,CHEMBL1127883,,,,0
34827,CHEMBL769366,CHEMBL320783,IC50,=,31.0,nM,7.51,CHEMBL243,CHEMBL1129270,,,,0
35821,CHEMBL695233,CHEMBL309346,IC50,=,18.9,nM,7.72,CHEMBL243,CHEMBL1127978,,,,0
37016,CHEMBL695233,CHEMBL308574,IC50,=,293.0,nM,6.53,CHEMBL243,CHEMBL1127978,,,,0
38521,CHEMBL769366,CHEMBL325815,IC50,=,49.0,nM,7.31,CHEMBL243,CHEMBL1129270,,,,0
39420,CHEMBL696055,CHEMBL278375,IC50,<,10.0,nM,,CHEMBL243,CHEMBL1127883,,,,0
39643,CHEMBL769366,CHEMBL108807,IC50,=,41.0,nM,7.39,CHEMBL243,CHEMBL1129270,,,,0
40547,CHEMBL696055,CHEMBL269569,IC50,<,15.0,nM,,CHEMBL243,CHEMBL1127883,,,,0
40552,CHEMBL695233,CHEMBL76460,IC50,=,257.0,nM,6.59,CHEMBL243,CHEMBL1127978,,,,0
40824,CHEMBL769366,CHEMBL326913,IC50,=,17.0,nM,7.77,CHEMBL243,CHEMBL1129270,,,,0
41844,CHEMBL696055,CHEMBL19973,IC50,=,5.0,nM,8.30,CHEMBL243,CHEMBL1127883,,,,0
41849,CHEMBL695233,CHEMBL75833,IC50,=,15.0,nM,7.82,CHEMBL243,CHEMBL1127978,,,,0
42109,CHEMBL800924,CHEMBL317773,IC50,=,4500.0,nM,5.35,CHEMBL243,CHEMBL1128496,,,,0
42110,CHEMBL800925,CHEMBL317773,IC50,=,2200.0,nM,5.66,CHEMBL243,CHEMBL1128496,,,,0
42111,CHEMBL804228,CHEMBL317773,IC50,=,56.0,nM,7.25,CHEMBL243,CHEMBL1128496,,,,0
43239,CHEMBL769366,CHEMBL322995,IC50,=,76.0,nM,7.12,CHEMBL243,CHEMBL1129270,,,,0
44211,CHEMBL871964,CHEMBL307193,IC50,=,3.0,nM,8.52,CHEMBL243,CHEMBL1130888,,,,1
44235,CHEMBL695233,CHEMBL76338,IC50,=,78.0,nM,7.11,CHEMBL243,CHEMBL1127978,,,,0
44459,CHEMBL769366,CHEMBL327087,IC50,=,62.0,nM,7.21,CHEMBL243,CHEMBL1129270,,,,0
44467,CHEMBL769366,CHEMBL323203,IC50,=,8.5,nM,8.07,CHEMBL243,CHEMBL1129270,,,,0
45357,CHEMBL696055,CHEMBL20642,IC50,=,4.0,nM,8.40,CHEMBL243,CHEMBL1127883,,,,0
45360,CHEMBL696055,CHEMBL19886,IC50,<,10.0,nM,,CHEMBL243,CHEMBL1127883,,,,0
45367,CHEMBL695233,CHEMBL75270,IC50,=,482.0,nM,6.32,CHEMBL243,CHEMBL1127978,,,,0
45541,CHEMBL769366,CHEMBL324657,IC50,=,18.0,nM,7.75,CHEMBL243,CHEMBL1129270,,,,0
46598,CHEMBL696055,CHEMBL278084,IC50,=,6.6,nM,8.18,CHEMBL243,CHEMBL1127883,,,,0
46604,CHEMBL695233,CHEMBL306598,IC50,=,12000.0,nM,4.92,CHEMBL243,CHEMBL1127978,,,,0
46605,CHEMBL695233,CHEMBL308771,IC50,=,371.0,nM,6.43,CHEMBL243,CHEMBL1127978,,,,0
46606,CHEMBL695233,CHEMBL73804,IC50,=,957.0,nM,6.02,CHEMBL243,CHEMBL1127978,,,,0
50884,CHEMBL769366,CHEMBL323161,IC50,=,62.0,nM,7.21,CHEMBL243,CHEMBL1129270,,,,0
50887,CHEMBL769366,CHEMBL110557,IC50,=,126.0,nM,6.90,CHEMBL243,CHEMBL1129270,,,,0
52017,CHEMBL769366,CHEMBL280464,IC50,=,33.0,nM,7.48,CHEMBL243,CHEMBL1129270,,,,0
52020,CHEMBL769366,CHEMBL323425,IC50,=,51.0,nM,7.29,CHEMBL243,CHEMBL1129270,,,,0
53108,CHEMBL696055,CHEMBL19752,IC50,=,5.0,nM,8.30,CHEMBL243,CHEMBL1127883,,,,0
53111,CHEMBL696055,CHEMBL283537,IC50,=,1.0,nM,9.00,CHEMBL243,CHEMBL1127883,,,,0
53128,CHEMBL695233,CHEMBL74629,IC50,=,102.0,nM,6.99,CHEMBL243,CHEMBL1127978,,,,0
53129,CHEMBL695233,CHEMBL72784,IC50,=,175.0,nM,6.76,CHEMBL243,CHEMBL1127978,,,,0
53130,CHEMBL695233,CHEMBL308845,IC50,=,69.0,nM,7.16,CHEMBL243,CHEMBL1127978,,,,0
54302,CHEMBL696055,CHEMBL262702,IC50,=,60.0,nM,7.22,CHEMBL243,CHEMBL1127883,,,,0
54305,CHEMBL696055,CHEMBL283726,IC50,<,10.0,nM,,CHEMBL243,CHEMBL1127883,,,,0
54317,CHEMBL695233,CHEMBL308837,IC50,=,132.0,nM,6.88,CHEMBL243,CHEMBL1127978,,,,0
56865,CHEMBL696055,CHEMBL278823,IC50,=,2000.0,nM,5.70,CHEMBL243,CHEMBL1127883,,,,0
56871,CHEMBL695233,CHEMBL309582,IC50,=,127.0,nM,6.90,CHEMBL243,CHEMBL1127978,,,,0
58260,CHEMBL769366,CHEMBL107758,IC50,=,1060.0,nM,5.97,CHEMBL243,CHEMBL1129270,,,,0
58263,CHEMBL769366,CHEMBL107559,IC50,=,56.0,nM,7.25,CHEMBL243,CHEMBL1129270,,,,0
59247,CHEMBL696056,CHEMBL129,IC50,,,nM,,CHEMBL243,CHEMBL1127883,Not Determined,,,0
59250,CHEMBL696055,CHEMBL280358,IC50,=,1.8,nM,8.74,CHEMBL243,CHEMBL1127883,,,,0
59259,CHEMBL695233,CHEMBL72487,IC50,=,129.0,nM,6.89,CHEMBL243,CHEMBL1127978,,,,0
60606,CHEMBL695233,CHEMBL73662,IC50,=,478.0,nM,6.32,CHEMBL243,CHEMBL1127978,,,,0
60607,CHEMBL695233,CHEMBL74862,IC50,=,102.0,nM,6.99,CHEMBL243,CHEMBL1127978,,,,0
60902,CHEMBL769366,CHEMBL108429,IC50,=,164.0,nM,6.79,CHEMBL243,CHEMBL1129270,,,,0
62220,CHEMBL769366,CHEMBL321165,IC50,=,16.0,nM,7.80,CHEMBL243,CHEMBL1129270,,,,0
62228,CHEMBL769366,CHEMBL322119,IC50,=,27.0,nM,7.57,CHEMBL243,CHEMBL1129270,,,,0
63274,CHEMBL696055,CHEMBL20135,IC50,=,13.0,nM,7.89,CHEMBL243,CHEMBL1127883,,,,0
63525,CHEMBL769366,CHEMBL111259,IC50,=,41.0,nM,7.39,CHEMBL243,CHEMBL1129270,,,,0
64615,CHEMBL696055,CHEMBL280398,IC50,=,40.0,nM,7.40,CHEMBL243,CHEMBL1127883,,,,0
64618,CHEMBL696055,CHEMBL282042,IC50,<,1.0,nM,,CHEMBL243,CHEMBL1127883,,,,0
64878,CHEMBL769366,CHEMBL324398,IC50,=,16.0,nM,7.80,CHEMBL243,CHEMBL1129270,,,,0
64886,CHEMBL769366,CHEMBL320343,IC50,=,67.0,nM,7.17,CHEMBL243,CHEMBL1129270,,,,0
64889,CHEMBL769366,CHEMBL326025,IC50,=,67.0,nM,7.17,CHEMBL243,CHEMBL1129270,,,,0
64897,CHEMBL769366,CHEMBL325778,IC50,=,37.0,nM,7.43,CHEMBL243,CHEMBL1129270,,,,0
