dataset_index,compound_name,molecule_chembl_id,canonical_smiles,smiles,scaffold,median_activity_nM,min_activity_nM,max_activity_nM,median_pchembl,min_pchembl,max_pchembl,pchembl_std,measurement_count,assay_count,document_count,molecule_count,first_document_year,latest_document_year,label
1,CHEMBL305125,CHEMBL305125,O=C1N(Cc2cccc(/C=N\O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(/C=N/O)c1,O=C1N(Cc2cccc(/C=N\O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(/C=N/O)c1,O=C1N(Cc2ccccc2)C(Cc2ccccc2)CCC(Cc2ccccc2)N1Cc1ccccc1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,1998,1998,1
2,CHEMBL36900,CHEMBL36900,N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccc(F)c(F)c3)[C@@H](O)[C@H]2Cc2ccc(F)c(F)c2)c1,N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccc(F)c(F)c3)[C@@H](O)[C@H]2Cc2ccc(F)c(F)c2)c1,O=C1N(Cc2ccccc2)C(CCc2ccccc2)CC(Cc2ccccc2)N1Cc1ccccc1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,1999,1999,1
6,CHEMBL333781,CHEMBL333781,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1)OCc1ccccn1,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1)OCc1ccccn1,O=C(Nc1ccccc1C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cccnc1)Cc1ccccc1)OCc1ccccn1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,1998,1998,1
7,CHEMBL85653,CHEMBL85653,Cc1ccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5ccc(C)cn5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)nc1,Cc1ccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5ccc(C)cn5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)nc1,O=C(Nc1ccccn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ccccn4)c3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.0104999999999999,0.01,0.011,10.98,10.96,11.0,0.0282842712474612,2,2,1,1,1996,1996,1
8,CHEMBL70626,CHEMBL70626,Cc1cccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3cccc(C)c3)N(Cc3ccc4[nH]nc(N)c4c3)C(=O)N2Cc2ccc3[nH]nc(N)c3c2)c1,Cc1cccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3cccc(C)c3)N(Cc3ccc4[nH]nc(N)c4c3)C(=O)N2Cc2ccc3[nH]nc(N)c3c2)c1,O=C1N(Cc2ccc3[nH]ncc3c2)C(Cc2ccccc2)CCC(Cc2ccccc2)N1Cc1ccc2[nH]ncc2c1,0.011,0.011,0.011,10.96,10.96,10.96,0.0,1,1,1,1,1999,1999,1
9,CHEMBL405187,CHEMBL405187,O=C(Nc1ccc(Cl)cn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ccc(Cl)cn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ccc(Cl)cn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ccc(Cl)cn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ccccn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ccccn4)c3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.011,0.01,0.012,10.96,10.92,11.0,0.0565685424949232,2,2,1,1,1996,1996,1
10,CHEMBL133292,CHEMBL133292,Nc1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,Nc1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(Cc3ccccc3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.012,0.012,0.012,10.92,10.92,10.92,0.0,1,1,1,1,1997,1997,1
11,CHEMBL313348,CHEMBL313348,Nc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,Nc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(c3ccccc3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.012,0.012,0.012,10.92,10.92,10.92,0.0,1,1,1,1,1999,1999,1
14,CHEMBL116954,CHEMBL116954,CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O,CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O,O=C(NC1CCc2ccccc21)C(CCCN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1)Cc1ccccc1,0.013,0.013,0.013,10.89,10.89,10.89,0.0,1,1,1,1,1994,1994,1
16,CHEMBL291677,CHEMBL291677,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.014,0.014,0.014,10.85,10.85,10.85,0.0,1,1,1,1,1996,1996,1
