dataset_index,compound_name,molecule_chembl_id,canonical_smiles,smiles,scaffold,median_activity_nM,min_activity_nM,max_activity_nM,median_pchembl,min_pchembl,max_pchembl,pchembl_std,measurement_count,assay_count,document_count,molecule_count,first_document_year,latest_document_year,label
1,CHEMBL36900,CHEMBL36900,N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccc(F)c(F)c3)[C@@H](O)[C@H]2Cc2ccc(F)c(F)c2)c1,N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccc(F)c(F)c3)[C@@H](O)[C@H]2Cc2ccc(F)c(F)c2)c1,O=C1N(Cc2ccccc2)C(CCc2ccccc2)CC(Cc2ccccc2)N1Cc1ccccc1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,,,1
2,CHEMBL182611,CHEMBL182611,O=C(c1ccccc1)N1C[C@@H](O)[C@@H](Cc2ccccc2)N(Cc2ccc(O)cc2)C(=O)N1Cc1ccc(O)cc1,O=C(c1ccccc1)N1C[C@@H](O)[C@@H](Cc2ccccc2)N(Cc2ccc(O)cc2)C(=O)N1Cc1ccc(O)cc1,O=C(c1ccccc1)N1CCC(Cc2ccccc2)N(Cc2ccccc2)C(=O)N1Cc1ccccc1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,,,1
3,CHEMBL333781,CHEMBL333781,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1)OCc1ccccn1,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1)OCc1ccccn1,O=C(Nc1ccccc1C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cccnc1)Cc1ccccc1)OCc1ccccn1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,,,1
4,CHEMBL305125,CHEMBL305125,O=C1N(Cc2cccc(/C=N\O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(/C=N/O)c1,O=C1N(Cc2cccc(/C=N\O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(/C=N/O)c1,O=C1N(Cc2ccccc2)C(Cc2ccccc2)CCC(Cc2ccccc2)N1Cc1ccccc1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,,,1
5,CHEMBL478728,CHEMBL478728,CCOC(=O)C(C(C)=O)C(c1cccc([N+](=O)[O-])c1)c1c(O)c2ccccc2oc1=O,CCOC(=O)C(C(C)=O)C(c1cccc([N+](=O)[O-])c1)c1c(O)c2ccccc2oc1=O,O=c1oc2ccccc2cc1Cc1ccccc1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,,,1
6,CHEMBL364376,CHEMBL364376,O=C(N[C@H]1CCOC[C@H]1O)[C@H](Cc1nnc(-c2ccccc2)o1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccc(Cl)cc3)o2)C[C@H]1C(=O)NCC(F)(F)F,O=C(N[C@H]1CCOC[C@H]1O)[C@H](Cc1nnc(-c2ccccc2)o1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccc(Cl)cc3)o2)C[C@H]1C(=O)NCC(F)(F)F,O=C(NC1CCOCC1)C(CCCN1CCN(Cc2ccc(-c3ccccc3)o2)CC1)Cc1nnc(-c2ccccc2)o1,0.01,0.01,0.01,11.0,11.0,11.0,0.0,1,1,1,1,,,1
9,CHEMBL70626,CHEMBL70626,Cc1cccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3cccc(C)c3)N(Cc3ccc4[nH]nc(N)c4c3)C(=O)N2Cc2ccc3[nH]nc(N)c3c2)c1,Cc1cccc(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3cccc(C)c3)N(Cc3ccc4[nH]nc(N)c4c3)C(=O)N2Cc2ccc3[nH]nc(N)c3c2)c1,O=C1N(Cc2ccc3[nH]ncc3c2)C(Cc2ccccc2)CCC(Cc2ccccc2)N1Cc1ccc2[nH]ncc2c1,0.011,0.011,0.011,10.96,10.96,10.96,0.0,1,1,1,1,,,1
10,CHEMBL313348,CHEMBL313348,Nc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,Nc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(c3ccccc3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.012,0.012,0.012,10.92,10.92,10.92,0.0,1,1,1,1,,,1
11,CHEMBL133292,CHEMBL133292,Nc1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,Nc1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,O=C(Nc1ncc[nH]1)c1cccc(CN2C(=O)N(Cc3ccccc3)C(Cc3ccccc3)CCC2Cc2ccccc2)c1,0.012,0.012,0.012,10.92,10.92,10.92,0.0,1,1,1,1,,,1
12,CHEMBL5274743,CHEMBL5274743,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(C(=O)O)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(C(=O)O)cc1,O=C(NC(CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)OC1COC2OCCC12,0.0127,0.0127,0.0127,10.9,10.9,10.9,0.0,1,1,1,1,,,1
