document_chembl_id,year,journal,title
CHEMBL1124753,1990,J Med Chem,Hydroxyethylamine analogues of the p17/p24 substrate cleavage site are tight-binding inhibitors of HIV protease.
CHEMBL1125068,1990,J Med Chem,"Structure-based, C2 symmetric inhibitors of HIV protease."
CHEMBL1125211,1991,J Med Chem,"Design and synthesis of HIV protease inhibitors. Variations of the carboxy terminus of the HIV protease inhibitor L-682,679."
CHEMBL1125224,1991,J Med Chem,Examination of HIV-1 protease secondary structure specificity using conformationally constrained inhibitors.
CHEMBL1125316,1992,J Med Chem,New hydroxyethylamine HIV protease inhibitors that suppress viral replication.
CHEMBL1125429,1992,J Med Chem,Intriguing structure-activity relations underlie the potent inhibition of HIV protease by norstatine-based peptides.
CHEMBL1125473,1992,J Med Chem,"A series of potent HIV-1 protease inhibitors containing a hydroxyethyl secondary amine transition state isostere: synthesis, enzyme inhibition, and antiviral activity."
CHEMBL1125526,1992,J Med Chem,Penicillin derived C2-symmetric dimers as novel inhibitors of HIV-1 proteinase.
CHEMBL1125598,1991,J Med Chem,HIV protease: a novel chemotherapeutic target for AIDS.
CHEMBL1125602,1991,J Med Chem,Inhibitors of the protease from human immunodeficiency virus: design and modeling of a compound containing a dihydroxyethylene isostere insert with high binding affinity and effective antiviral activity.
CHEMBL1125635,1991,J Med Chem,Effect of hydroxyl group configuration in hydroxyethylamine dipeptide isosteres on HIV protease inhibition. Evidence for multiple binding modes.
CHEMBL1125636,1991,J Med Chem,"L-687,908, a potent hydroxyethylene-containing HIV protease inhibitor."
CHEMBL1125637,1991,J Med Chem,Benzocycloalkyl amines as novel C-termini for HIV protease inhibitors.
CHEMBL1125803,1991,J Med Chem,Novel binding mode of highly potent HIV-proteinase inhibitors incorporating the (R)-hydroxyethylamine isostere.
CHEMBL1126030,1992,J Med Chem,Synthesis and antiviral activity of a series of HIV-1 protease inhibitors with functionality tethered to the P1 or P1' phenyl substituents: X-ray crystal structure assisted design.
CHEMBL1126244,1992,J Med Chem,HIV-1 protease inhibitors based on hydroxyethylene dipeptide isosteres: an investigation into the role of the P1' side chain on structure-activity.
CHEMBL1126254,1992,J Med Chem,Specific inhibition of HIV-1 protease by boronated porphyrins.
CHEMBL1126528,1993,Bioorg Med Chem Lett,Synthesis and biological evaluation of a series of HIV-1 protease inhibitors
CHEMBL1126530,1993,Bioorg Med Chem Lett,A concise enantioselective synthesis of rans-olefin dipeptide isosteres
CHEMBL1126565,1993,J Med Chem,Three-dimensional QSAR of human immunodeficiency virus (I) protease inhibitors. 1. A CoMFA study employing experimentally-determined alignment rules.
CHEMBL1126582,1993,J Med Chem,"Symmetry-based inhibitors of HIV protease. Structure-activity studies of acylated 2,4-diamino-1,5-diphenyl-3-hydroxypentane and 2,5-diamino-1,6-diphenylhexane-3,4-diol."
CHEMBL1126634,1993,J Med Chem,Cyclic sulfolanes as novel and high affinity P2 ligands for HIV-1 protease inhibitors.
CHEMBL1126659,1993,J Med Chem,"5-chloro-3-(phenylsulfonyl)indole-2-carboxamide: a novel, non-nucleoside inhibitor of HIV-1 reverse transcriptase."
CHEMBL1126747,1993,J Med Chem,Multiple copy simultaneous search and construction of ligands in binding sites: application to inhibitors of HIV-1 aspartic proteinase.
CHEMBL1126759,1993,J Med Chem,Potent HIV protease inhibitors: the development of tetrahydrofuranylglycines as novel P2-ligands and pyrazine amides as P3-ligands.
CHEMBL1126761,1993,J Med Chem,A novel constrained reduced-amide inhibitor of HIV-1 protease derived from the sequential incorporation of gamma-turn mimetics into a model substrate.
CHEMBL1126785,1993,J Med Chem,Peptidomimetic HIV protease inhibitors: phosphate prodrugs with improved biological activities.
CHEMBL1126824,1993,J Med Chem,Discovery of a novel class of potent HIV-1 protease inhibitors containing the (R)-(hydroxyethyl)urea isostere.
CHEMBL1126853,1993,J Med Chem,A series of penicillin-derived C2-symmetric inhibitors of HIV-1 proteinase: structural and modeling studies.
CHEMBL1126854,1993,J Med Chem,"A series of penicillin derived C2-symmetric inhibitors of HIV-1 proteinase: synthesis, mode of interaction, and structure-activity relationships."
CHEMBL1126855,1993,J Med Chem,Synthesis and structure-activity relationships of a series of penicillin-derived HIV proteinase inhibitors containing a stereochemically unique peptide isostere.
CHEMBL1127016,1993,J Med Chem,"Inhibitors of the protease from human immunodeficiency virus: synthesis, enzyme inhibition, and antiviral activity of a series of compounds containing the dihydroxyethylene transition-state isostere."
CHEMBL1127030,1993,J Med Chem,3-Tetrahydrofuran and pyran urethanes as high-affinity P2-ligands for HIV-1 protease inhibitors.
CHEMBL1127172,1993,Bioorg Med Chem Lett,Novel pseudosymmetric inhibitors of HIV-1 protease
CHEMBL1127200,1993,Bioorg Med Chem Lett,Novel dimeric penicillin derived inhibitors of HIV-1 proteinase: interaction with the catalytic aspartates
CHEMBL1127224,1993,Bioorg Med Chem Lett,"Peptidomimetic inhibitors of human immunodeficiency virus protease (HIV-PR): Design, enzyme binding and selectivity, antiviral efficacy, and cell permeability properties"
CHEMBL1127242,1994,Bioorg Med Chem Lett,Conformationally constrained HIV-1 protease inhibitors
CHEMBL1127249,1994,Bioorg Med Chem Lett,"Design, structure activity and x-ray crystallographic studies of pseudosymmetrical nonpeptidyl HIV-1 protease inhibitors"
CHEMBL1127342,1994,J Med Chem,Structure-based design of HIV protease inhibitors: 4-hydroxycoumarins and 4-hydroxy-2-pyrones as non-peptidic inhibitors.
CHEMBL1127364,1994,J Med Chem,"L-735,524: the design of a potent and orally bioavailable HIV protease inhibitor."
CHEMBL1127384,1994,J Med Chem,"Design, synthesis, and conformational analysis of a novel macrocyclic HIV-protease inhibitor."
CHEMBL1127387,1994,J Med Chem,Synthesis and structure-activity relationships of a series of penicillin-derived HIV proteinase inhibitors: heterocyclic ring systems containing P1' and P2' substituents.
CHEMBL1127464,1994,J Med Chem,"Inhibitors of HIV-1 proteinase containing 2-heterosubstituted 4-amino-3-hydroxy-5-phenylpentanoic acid: synthesis, enzyme inhibition, and antiviral activity."
CHEMBL1127465,1994,J Med Chem,"Rational design, synthesis, and crystallographic analysis of a hydroxyethylene-based HIV-1 protease inhibitor containing a heterocyclic P1'--P2' amide bond isostere."
CHEMBL1127480,1994,J Med Chem,Evaluation of a vitamin-cloaking strategy for oligopeptide therapeutics: biotinylated HIV-1 protease inhibitors.
CHEMBL1127539,1994,J Med Chem,"Aminodiol HIV protease inhibitors. 1. Design, synthesis, and preliminary SAR."
CHEMBL1127540,1994,J Med Chem,Three-dimensional pharmacophores from binding data.
CHEMBL1127584,1994,J Med Chem,Crystal-structure-based design and synthesis of novel C-terminal inhibitors of HIV protease.
CHEMBL1127605,1994,J Med Chem,Synthesis of naphthalenesulfonic acid small molecules as selective inhibitors of the DNA polymerase and ribonuclease H activities of HIV-1 reverse transcriptase.
CHEMBL1127618,1994,J Med Chem,A novel nonpeptide HIV-1 protease inhibitor: elucidation of the binding mode and its application in the design of related analogs.
CHEMBL1127634,1994,J Med Chem,Calculation of relative differences in the binding free energies of HIV1 protease inhibitors: a thermodynamic cycle perturbation approach.
CHEMBL1127636,1994,J Med Chem,The development of cyclic sulfolanes as novel and high-affinity P2 ligands for HIV-1 protease inhibitors.
CHEMBL1127657,1994,J Med Chem,Haloperidol-based irreversible inhibitors of the HIV-1 and HIV-2 proteases.
CHEMBL1127692,1994,J Med Chem,Application of the three-dimensional structures of protein target molecules in structure-based drug design.
CHEMBL1127743,1994,J Med Chem,Structure-based design of HIV-1 protease inhibitors: replacement of two amides and a 10 pi-aromatic system by a fused bis-tetrahydrofuran.
CHEMBL1127784,1994,J Med Chem,Design and synthesis of peptidomimetic inhibitors of HIV-1 protease and renin. Evidence for improved transport.
CHEMBL1127848,1994,J Med Chem,Three-dimensional quantitative structure-activity relationship of human immunodeficiency virus (I) protease inhibitors. 2. Predictive power using limited exploration of alternate binding modes.
CHEMBL1127883,1994,Bioorg Med Chem Lett,Increased antiviral activity of HIV protease inhibitors of the difluorostatone type bearing (R)-valinol derivatives as novel c-termini
CHEMBL1127904,1994,Bioorg Med Chem Lett,D-amino acids as novel P2/P3 ligands for inhibitors of HIV-1 protease
CHEMBL1127971,1994,Bioorg Med Chem Lett,"Novel conformationally constrained HIV-1 protease inhibitors: rational design, enzyme inhibition, and X-ray structure of an enzyme-inhibtor complex"
CHEMBL1127974,1994,Bioorg Med Chem Lett,"Design, synthesis, and activity of conformationally-constrained macrocyclic peptide-based inhibitors of HIV protease"
CHEMBL1127978,1994,Bioorg Med Chem Lett,A new hydroxyethylamine class of HIV-1 protease inhibitors with high antiviral potency and oral bioavailability
CHEMBL1127984,1994,Bioorg Med Chem Lett,Beneficial replacement of the P1 phenylalanine side chain in HIV-1 protease inhibitors of the difluorostatone type
CHEMBL1128000,1994,Bioorg Med Chem Lett,Synthesis and antiviral activity of a novel class of HIV-1 protease inhibitors containing a heterocyclic P1-P2 amide bond isostere
CHEMBL1128012,1994,Bioorg Med Chem Lett,Non-peptide-based inhibitors of human immunodeficiency virus-1 protease
CHEMBL1128024,1994,Bioorg Med Chem Lett,Carbocyclic analogues of hydroxyethylamine containing inhibitors of HIV proteinase
CHEMBL1128025,1994,Bioorg Med Chem Lett,"Synthesis and evaluation of pyridyl analogs of L-735,524: Potent HIV-1 protease inhibitors"
CHEMBL1128041,1995,Bioorg Med Chem Lett,Thiophene derivatives as extremely high affinity P3 ligands for the hydroxyethylpiperazine class of HIV-1 protease inhibitors
CHEMBL1128078,1995,Bioorg Med Chem Lett,Evaluation of substituted benzamides as P2 ligands for symmetry-based inhibitors of HIV protease
CHEMBL1128091,1995,Bioorg Med Chem Lett,Ly316340: A potent HIV-1 protease inhibitor containing a high affinity octahydrothienopyridine hydroxyethylamine isostere
CHEMBL1128092,1995,Bioorg Med Chem Lett,"Potent, orally bioavailable HIV-1 protease inhibitors containing noncoded D-amino acids"
CHEMBL1128104,1995,Bioorg Med Chem Lett,A bis-[N-3-(1-hydroxy-1-methyl-ethyl)-benzyl)-cyclic urea as a HIV protease inhibitor
CHEMBL1128144,1995,Bioorg Med Chem Lett,Cyclic sulfone-3-carboxamides as novel P2-ligands for Ro 31-8959 based HIV-1 protease inhibitors
CHEMBL1128181,1995,J Med Chem,Structure-based design of nonpeptidic HIV protease inhibitors from a cyclooctylpyranone lead structure.
CHEMBL1128214,1995,J Med Chem,Structure-based design of sulfonamide-substituted non-peptidic HIV protease inhibitors.
CHEMBL1128227,1995,J Med Chem,Cosalane analogues with enhanced potencies as inhibitors of HIV-1 protease and integrase.
CHEMBL1128235,1995,J Med Chem,Inhibitors of HIV-1 protease containing the novel and potent (R)-(hydroxyethyl)sulfonamide isostere.
CHEMBL1128389,1995,J Med Chem,Thiadiazole derivatives: highly potent and specific HIV-1 reverse transcriptase inhibitors.
CHEMBL1128438,1995,J Med Chem,A priori prediction of activity for HIV-1 protease inhibitors employing energy minimization in the active site.
CHEMBL1128495,1995,J Med Chem,Synthetic chemical diversity: solid phase synthesis of libraries of C2 symmetric inhibitors of HIV protease containing diamino diol and diamino alcohol cores.
CHEMBL1128496,1995,J Med Chem,Anti-AIDS (acquired immune deficiency syndrome) agents. 17. New brominated hexahydroxybiphenyl derivatives as potent anti-HIV agents.
CHEMBL1128516,1995,J Med Chem,A check on rational drug design: crystal structure of a complex of human immunodeficiency virus type 1 protease with a novel gamma-turn mimetic inhibitor.
CHEMBL1128607,1995,J Med Chem,Structure-based design of novel HIV protease inhibitors: carboxamide-containing 4-hydroxycoumarins and 4-hydroxy-2-pyrones as potent nonpeptidic inhibitors.
CHEMBL1128633,1995,Bioorg Med Chem Lett,Synthesis and pharmacokinetics of potent carbamate HIV-1 protease inhibitors containing novel high affinity hydroxyethylamine isosteres
CHEMBL1128706,1995,J Med Chem,Nonpeptidic potent HIV-1 protease inhibitors: (4-hydroxy-6-phenyl-2-oxo-2H- pyran-3-yl)thiomethanes that span P1-P2' subsites in a unique mode of active site binding.
CHEMBL1128784,1995,Bioorg Med Chem Lett,Symmetry-based HIV Protease inhibitors: rational design of 2-methylbenzamides as novel P2/P2 ligands
CHEMBL1128794,1995,Bioorg Med Chem Lett,"Rational design of irreversible, pseudo-C2-symmetric hiv-1 protease inhibitors"
CHEMBL1128832,1995,Bioorg Med Chem Lett,Substituted alkylpyridines as P3 ligands for the hydroxyethylpiperazine class of HIV-1 protease inhibitors: Improved pharmacokinetic profiles
CHEMBL1128839,1995,Bioorg Med Chem Lett,"Aminodiol HIV protease inhibitors. 2. 1,1-Dimethyl-2-hydroxyethyl carbamate derivatives with enhanced potency"
CHEMBL1128865,1995,Bioorg Med Chem Lett,A systematic study of P1P3 spanning sidechains for the inhibition of HIV-1 protease
CHEMBL1128866,1995,Bioorg Med Chem Lett,Isophthalic acid derivatives: amino acid surrogates for the inhibition of HIV-1 protease
CHEMBL1128867,1995,Bioorg Med Chem Lett,Structure-based drug design of nonpeptidic P2 substituents for HIV-1 protease inhibitors
CHEMBL1128944,1996,Bioorg Med Chem Lett,Potent cyclic urea HIV protease inhibitors with benzofused heterocycles as P2/P2 groups
CHEMBL1128989,1996,Bioorg Med Chem Lett,"-Methanesulfonyl-L-valine as a novel, unnatural amino acid surrogate for P2 in the design of HIV protease inhibitors."
CHEMBL1128990,1996,Bioorg Med Chem Lett,"Design, synthesis, and characterization of dipeptide isostere containing cis-epoxide for the irreversible inactivation of HIV protease"
CHEMBL1129048,1996,J Med Chem,"A novel, picomolar inhibitor of human immunodeficiency virus type 1 protease."
CHEMBL1129084,1996,Bioorg Med Chem Lett,Structure-activity relationships for macrocyclic peptidomimetic inhibitors of HIV-1 protease
CHEMBL1129166,1996,Bioorg Med Chem Lett,"Design and synthesis of novel, pseudo C2 symmetric inhibitors of HIV protease"
CHEMBL1129270,1996,J Med Chem,Aza-peptide analogs as potent human immunodeficiency virus type-1 protease inhibitors with oral bioavailability.
CHEMBL1129303,1996,J Med Chem,Potent human immunodeficiency virus type 1 protease inhibitors that utilize noncoded D-amino acids as P2/P3 ligands.
CHEMBL1129312,1996,J Med Chem,Aminodiol HIV protease inhibitors. Synthesis and structure-activity relationships of P1/P1' compounds: correlation between lipophilicity and cytotoxicity.
CHEMBL1129316,1996,J Med Chem,"Inhibitors of human immunodeficiency virus type 1 protease containing 2-aminobenzyl-substituted 4-amino-3-hydroxy-5-phenylpentanoic acid: synthesis, activity, and oral bioavailability."
CHEMBL1129342,1996,J Med Chem,Structure-based design of novel HIV protease inhibitors: sulfonamide-containing 4-hydroxycoumarins and 4-hydroxy-2-pyrones as potent non-peptidic inhibitors.
CHEMBL1129349,1996,J Med Chem,Antiretroviral agents as inhibitors of both human immunodeficiency virus type 1 integrase and protease.
CHEMBL1129364,1996,J Med Chem,Pyrrolobenzothiazepinones and pyrrolobenzoxazepinones: novel and specific non-nucleoside HIV-1 reverse transcriptase inhibitors with antiviral activity.
CHEMBL1129371,1996,J Med Chem,Bis tertiary amide inhibitors of the HIV-1 protease generated via protein structure-based iterative design.
CHEMBL1129402,1996,J Med Chem,"Structure-based design of HIV protease inhibitors: 5,6-dihydro-4-hydroxy-2-pyrones as effective, nonpeptidic inhibitors."
CHEMBL1129454,1996,J Med Chem,HIV protease inhibitory bis-benzamide cyclic ureas: a quantitative structure-activity relationship analysis.
CHEMBL1129527,1996,J Med Chem,"Synthesis, chromatographic resolution, and anti-human immunodeficiency virus activity of (+/-)-calanolide A and its enantiomers."
CHEMBL1129607,1996,J Med Chem,Paracyclophanes: a novel class of water-soluble inhibitors of HIV proteinase.
CHEMBL1129619,1996,J Med Chem,"New series of potent, orally bioavailable, non-peptidic cyclic sulfones as HIV-1 protease inhibitors."
CHEMBL1129626,1996,J Med Chem,"Cyclic HIV protease inhibitors: synthesis, conformational analysis, P2/P2' structure-activity relationship, and molecular recognition of cyclic ureas."
CHEMBL1129709,1996,Bioorg Med Chem Lett,(Hydroxyethyl) sulfonamide HIV-1 Protease inhibitors: Identification of the 2-methylbenzoyl moiety at P-2
CHEMBL1129728,1996,J Med Chem,Structure-based design and synthesis of substituted 2-butanols as nonpeptidic inhibitors of HIV protease: secondary amide series.
CHEMBL1129746,1996,J Med Chem,"Structure-based design of HIV protease inhibitors: sulfonamide-containing 5,6-dihydro-4-hydroxy-2-pyrones as non-peptidic inhibitors."
CHEMBL1129760,1996,Bioorg Med Chem Lett,A topliss tree analysis of the HIV-protease inhibitory activity of 6-phenyl-4-hydroxy-pyran-2-ones
CHEMBL1129785,1996,J Med Chem,Preparation and structure-activity relationship of novel P1/P1'-substituted cyclic urea-based human immunodeficiency virus type-1 protease inhibitors.
CHEMBL1129800,1996,J Med Chem,Cycloalkylpyranones and cycloalkyldihydropyrones as HIV protease inhibitors: exploring the impact of ring size on structure-activity relationships.
CHEMBL1129838,1997,Bioorg Med Chem Lett,Synthesis and pharmacological evaluation of sulfone substituted HIV protease inhibitors
CHEMBL1129848,1997,Bioorg Med Chem Lett,Synthesis and evaluation of imidazolidinones as nonpeptide HIV-protease inhibitors
CHEMBL1129849,1997,Bioorg Med Chem Lett,Synthesis and evaluation of delta lactams as nonpeptide HIV-protease inhibitors
CHEMBL1129971,1997,J Med Chem,"Cyclic HIV-1 protease inhibitors derived from mannitol: synthesis, inhibitory potencies, and computational predictions of binding affinities."
CHEMBL1129987,1997,J Med Chem,Structure-based design of nonpeptidic HIV protease inhibitors: the sulfonamide-substituted cyclooctylpyramones.
CHEMBL1130027,1997,J Med Chem,"Improved P1/P1' substituents for cyclic urea based HIV-1 protease inhibitors: synthesis, structure-activity relationship, and X-ray crystal structure analysis."
CHEMBL1130044,1997,J Med Chem,"Design, synthesis, and evaluation of tetrahydropyrimidinones as an example of a general approach to nonpeptide HIV protease inhibitors."
CHEMBL1130086,1997,J Med Chem,Potent HIV protease inhibitors containing a novel (hydroxyethyl)amide isostere.
